avg_rating,extracted_at,geek_rating,id,num_voters,rank,short_description,title,type,year_published
7.77,1663732921.930321,7.393,9609,10351.0,153,"Rings, Fellowship, diplomacy and war in the Third Age of Middle Earth.",War of the Ring,boardgame,2004
7.67,1663732921.930321,7.392,43111,14972.0,154,Rival chaos gods send forth their minions to spread corruption and destruction.,Chaos in the Old World,boardgame,2009
7.65,1663732921.930321,7.391,104162,24229.0,155,Fight the Overlord and level up your heroes in this fantasy dungeon campaign.,Descent: Journeys in the Dark (Second Edition),boardgame,2012
7.5,1663732921.930321,7.385,54043,44359.0,156,Trade and sell goods to become the most wealthy merchant in this short game for two.,Jaipur,boardgame,2009
7.96,1663732921.930321,7.384,265188,6179.0,157,"Expand your Scottish clan by trading livestock, making whisky and gaining landmarks.",Glen More II: Chronicles,boardgame,2019
7.92,1663732921.930321,7.38,296151,7006.0,158,Travel the Kingdom seeking upgrades in an attempt to bring poverty or prosperity.,Viscounts of the West Kingdom,boardgame,2020
7.55,1663732921.930321,7.38,463,36075.0,159,Cast spells and summon fantasy monsters in the original collectible card game.,Magic: The Gathering,boardgame,1993
7.55,1663732921.930321,7.375,10630,27910.0,160,Revisit the battles of D-Day and control the forces of the Allies and the Axis!,Memoir '44,boardgame,2004
7.73,1663732921.930321,7.372,282524,11891.0,161,Classic movie monsters terrorize a town! Can your team stop them in time?,Horrified,boardgame,2019
7.8,1663732921.930321,7.369,188920,10925.0,162,Civilians trapped in a war-torn city must make difficult decisions to survive.,This War of Mine: The Board Game,boardgame,2017
7.68,1663732921.930321,7.365,17133,11705.0,163,"Build rails, race to deliver scarce goods, and fulfill your Rail Baron's secret goal.",Railways of the World,boardgame,2005
7.55,1663732921.930321,7.364,128882,30249.0,164,Who can you trust? A game of social deduction set in King Arthur’s legendary realm.,The Resistance: Avalon,boardgame,2012
7.51,1663732921.930321,7.361,150376,43070.0,165,"As you struggle to keep survivors alive, how will you value group vs. personal needs?",Dead of Winter: A Crossroads Game,boardgame,2014
7.54,1663732921.930321,7.361,39463,30164.0,166,Conquer the galaxy with shifting alliances and the unique powers of your alien race.,Cosmic Encounter,boardgame,2008
7.74,1663732921.930321,7.36,328871,9753.0,167,"Return to Mars and terraform it once again, this time using only cards.",Terraforming Mars: Ares Expedition,boardgame,2021
7.94,1663732921.930321,7.359,249259,6802.0,168,"Recruit, bolster and maneuver your way to controlling the hex-grid battlefield.",War Chest,boardgame,2018
7.53,1663732921.930321,7.359,155426,23936.0,169,Choose and play tiles to satisfy the king's whims and build the best fantasy castle.,Castles of Mad King Ludwig,boardgame,2014
7.7,1663732921.930321,7.358,70149,10398.0,170,Manage workers and resources to build up the land around your medieval monastery.,Ora et Labora,boardgame,2011
7.5,1663732921.930321,7.355,199561,33683.0,171,Craft the best stained-glass windows by carefully placing colorful transparent dice.,Sagrada,boardgame,2017
7.91,1663732921.930321,7.353,189932,6847.0,172,Lead a Drow house and build the best deck to establish supremacy over the Underdark.,Tyrants of the Underdark,boardgame,2016
7.56,1663732921.930321,7.352,103343,31592.0,173,Make alliances—and break them!—as you strive to both unite and conquer Westeros.,A Game of Thrones: The Board Game (Second Edition),boardgame,2011
8.02,1663732921.930321,7.347,25021,5132.0,174,Defend or depose the Toyotomi heir by commanding the loyalty of the feudal lords.,Sekigahara: The Unification of Japan,boardgame,2011
7.83,1663732921.930321,7.341,268864,7951.0,175,Command your rifle platoon to victory in this WWII multi-scenario deck builder.,Undaunted: Normandy,boardgame,2019
7.63,1663732921.930321,7.34,221194,14338.0,176,Research DNA to bring prehistoric reptiles to life.,Dinosaur Island,boardgame,2017
7.63,1663732921.930321,7.34,31627,12905.0,177,"Build railways to connect destinations across Scandinavia, Finland, and Estonia.",Ticket to Ride: Nordic Countries,boardgame,2007
7.5,1663732921.930321,7.339,123260,23390.0,178,Expand your meager neighborhood into a sprawling suburb to attract the most citizens.,Suburbia,boardgame,2012
7.77,1663732921.930321,7.338,14105,8378.0,179,Accessible game of warfare from the dawn of history to the opening of the Middle Ages,Commands & Colors: Ancients,boardgame,2006
7.74,1663732921.930321,7.333,195421,9122.0,180,Explore the lands to discover the Last Ruins and become the most storied traveller.,Near and Far,boardgame,2017
7.88,1663732921.930321,7.331,209418,7069.0,181,Acquire cards to grow your kingdom's influence in this classic deck-building game.,Dominion (Second Edition),boardgame,2016
7.51,1663732921.930321,7.329,104006,21841.0,182,"Send your villagers to work, travel, pray, and... die when it brings the most renown.",Village,boardgame,2011
